Fecha;Tension;Intensidad;F.Potencia;P.Activa;P.Aparente;Energia
14/8/2021:0;9.83;232.89;0.96;2206.84;2289.25;0.00031
14/8/2021:1;8.64;232.15;0.96;1929.28;2007.0;0.00031
14/8/2021:2;7.88;230.26;0.96;1739.2;1813.99;0.00028
14/8/2021:3;7.69;230.71;0.96;1700.07;1775.16;0.00026
14/8/2021:4;8.06;230.42;0.97;1792.54;1856.77;0.00029
14/8/2021:5;7.74;229.99;0.96;1706.43;1779.86;0.00028
14/8/2021:6;7.75;229.62;0.94;1686.03;1779.82;0.00027
14/8/2021:7;7.93;228.93;0.96;1745.39;1814.95;0.00027
14/8/2021:8;6.89;229.45;0.96;1508.95;1579.83;0.00024
14/8/2021:9;7.16;229.48;0.96;1580.19;1642.57;0.00027
14/8/2021:10;10.3;231.79;0.97;2325.58;2387.95;0.00044
14/8/2021:11;11.82;233.12;0.97;2676.71;2754.42;0.00121
14/8/2021:12;14.95;230.52;0.97;3356.9;3446.78;0.0039
14/8/2021:13;15.67;229.65;0.97;3501.72;3598.81;0.00136
14/8/2021:14;16.67;233.31;0.97;3771.02;3889.27;0.01405
14/8/2021:15;17.67;233.28;0.97;3996.41;4121.41;0.02126
14/8/2021:16;18.11;232.08;0.97;4074.57;4202.59;0.00657
14/8/2021:17;17.54;229.6;0.97;3905.4;4026.81;0.0086
14/8/2021:18;20.45;227.08;0.98;4559.16;4638.72;0.00594
14/8/2021:19;18.85;225.11;0.97;4140.8;4243.62;0.00116
14/8/2021:20;17.37;225.18;0.97;3811.63;3909.99;0.00096
14/8/2021:21;17.31;227.05;0.97;3833.18;3929.48;0.00232
14/8/2021:22;16.97;225.23;0.98;3729.89;3822.68;0.00466
14/8/2021:23;17.63;224.41;0.98;3890.15;3952.98;0.00401
