Fecha;Tension;Intensidad;F.Potencia;P.Activa;P.Aparente;Energia
14/8/2021:0;3.57;236.61;0.99;845.33;846.01;0.00014
14/8/2021:1;0.225;234.52;0.18;19.665;528.45;0.000005
14/8/2021:2;0.15;232.49;-0.13;-4.43;34.88;-0.0
14/8/2021:3;0.15;232.86;-0.13;-4.42;34.9;-0.0
14/8/2021:4;0.15;233.62;-0.13;-4.42;35.27;-0.0
14/8/2021:5;0.15;232.27;-0.12;-4.32;35.39;-0.0
14/8/2021:6;0.15;231.91;-0.13;-4.39;34.79;-0.0
14/8/2021:7;0.15;231.3;-0.12;-4.31;34.76;-0.0
14/8/2021:8;0.32;230.72;0.52;50.26;73.48;0.00001
14/8/2021:9;1.735;232.27;0.99;401.27;403.72;0.00007
14/8/2021:10;1.66;232.28;0.44;367.61;387.45;0.00006
14/8/2021:11;5.58;235.83;1.0;1321.55;1321.56;0.00021
14/8/2021:12;6.905;233.21;1.0;1617.91;1617.93;0.00024
14/8/2021:13;7.56;232.21;1.0;1764.24;1764.24;0.0003
14/8/2021:14;7.59;234.77;1.0;1790.21;1790.23;0.00029
14/8/2021:15;3.915;234.69;0.45;910.16;929.41;0.000155
14/8/2021:16;6.54;233.60;1.0;1543.70;1543.74;0.00026
14/8/2021:17;1.72;235.37;0.99;402.49;404.75;0.00007
14/8/2021:18;42.54;233.7;1.0;1004.51;1005.01;0.00017
14/8/2021:19;1.75;232.65;0.99;404.93;407.7;0.00007
14/8/2021:20;2.775;232.79;0.975;645.63;649.65;0.00019
14/8/2021:21;0.15;235.97;-0.12;-4.44;35.56;-0.0
14/8/2021:22;0.15;236.34;-0.13;-4.52;35.6;-0.0
14/8/2021:23;1.065;234.40;0.425;227.15;247.79;0.000035
